periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-12-09,"Asistencias y votaciones de la sesión del 09-12-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8AAB5B9E982B410A052587AC00519371/$FILE/Asis_vot_PROVISIONAL_09-12-21.pdf,Asis_vot_PROVISIONAL_09-12-21.pdf,44,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-12-07,"Asistencias y votación de la sesión del 07-12-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E4DF0083146E504D052587AA0056DD8C/$FILE/Asis_vot_OFICIAL_07-12-21.pdf,Asis_vot_OFICIAL_07-12-21.pdf,3,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-11-25,"Asistencias y votaciones de la sesión del 25-11-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8E994F8F536746ED0525879C005CEF29/$FILE/Asis_vot_OFICIAL_25-11-2021.pdf,Asis_vot_OFICIAL_25-11-2021.pdf,15,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-11-24,"Asistencia de la sesión del 24-11-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/BFB89714028B6CB30525879C005DBE47/$FILE/Asis_OFICIAL_24-11-2021.pdf,Asis_OFICIAL_24-11-2021.pdf,1,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-11-23,"Asistencias y votación de la sesión del 23-11-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E2FEE45985698EB1052587980056665D/$FILE/Asis_vot_OFICIAL_23-11-21.pdf,Asis_vot_OFICIAL_23-11-21.pdf,3,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-11-18,"Asistencias y votaciones de la sesión del 18-11-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/95083BB58291E1A10525879700502873/$FILE/Asis_vot_OFICIAL_18-11-2021.pdf,Asis_vot_OFICIAL_18-11-2021.pdf,39,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-11-11,"Asistencias y votaciones de la sesión del 11-11-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0C87DE0D6A919D300525878E006EB3F7/$FILE/Asis_vot_OFICIAL_11-11-2021.pdf,Asis_vot_OFICIAL_11-11-2021.pdf,23,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-11-04,"Asistencias y votación de la sesión del 04-11-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/68C1838137F744CA0525878900753040/$FILE/Asis_vot_OFICIAL_04-11-21.pdf,Asis_vot_OFICIAL_04-11-21.pdf,3,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-10-28,"Asistencias y votaciones de la sesión del 28-10-2021 Cajamarca",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DDC8C7746FFD9C1505258790006CEDEF/$FILE/Asis_vot_OFICIAL_28.10.21.pdf,Asis_vot_OFICIAL_28.10.21.pdf,41,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-10-25,"Asistencia a la sesión del 25-10-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F9A2587A063D3B4305258782006B5CF8/$FILE/Asis_OFICIAL-25-10-21.pdf,Asis_OFICIAL-25-10-21.pdf,1,false
